+====================+===================+=======================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                   |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[15][1]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[14][0]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][0]/D        |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[15][3]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[14][6]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[16][5]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[15][2]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[14][1]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[16][2]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[15][7]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[16][6]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[15][5]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[16][0]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[16][1]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[14][3]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[14][7]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[14][2]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[14][5]/D       |
| clk_out2_pll       | clk_out2_pll      | twin_controller_inst/status_buffer_reg[1][1]/D        |
+--------------------+-------------------+-------------------------------------------------------+
